,Study_number,Rs_annual,Study_midyear,geometry,color
4752,6263.0,1060.0,928195200.0,POINT (-8 38.53333333),#4da700ff
4751,6263.0,946.0,1212278400.0,POINT (-8.316666667 39.13333333),#45a200ff
4750,6263.0,757.0,1117584000.0,POINT (-8.633333332999999 38.46666667),#379c00ff
4763,6272.0,833.0,1180656000.0,POINT (112.6 23.17),#3c9e00ff
4765,6272.0,1158.0,1243814400.0,POINT (112.6 23.17),#54aa00ff
4761,6272.0,1230.0,1212278400.0,POINT (112.6 23.17),#59ad00ff
4760,6272.0,961.0,1180656000.0,POINT (112.6 23.17),#46a300ff
4762,6272.0,1166.0,1243814400.0,POINT (112.6 23.17),#55aa00ff
4764,6272.0,1150.0,1212278400.0,POINT (112.6 23.17),#54aa00ff
4786,6283.0,954.0,1212278400.0,POINT (2.97 42.27),#45a300ff
4787,6283.0,770.0,1212278400.0,POINT (2.97 42.27),#389c00ff
4785,6283.0,715.0,1212278400.0,POINT (2.97 42.27),#349a00ff
4783,6283.0,1104.0,1212278400.0,POINT (2.97 42.27),#50a800ff
4782,6283.0,1265.0,1212278400.0,POINT (2.97 42.27),#5cae00ff
4781,6283.0,927.0,1212278400.0,POINT (2.97 42.27),#43a200ff
4774,6283.0,1207.0,1212278400.0,POINT (2.97 42.27),#58ac00ff
4780,6283.0,1299.0,1212278400.0,POINT (2.97 42.27),#5faf00ff
4775,6283.0,1347.0,1212278400.0,POINT (2.97 42.27),#62b100ff
4776,6283.0,1437.0,1212278400.0,POINT (2.97 42.27),#69b400ff
4777,6283.0,1294.0,1212278400.0,POINT (2.97 42.27),#5eaf00ff
4778,6283.0,1725.0,1212278400.0,POINT (2.97 42.27),#7ebf00ff
4779,6283.0,1384.0,1212278400.0,POINT (2.97 42.27),#65b200ff
4784,6283.0,1157.0,1212278400.0,POINT (2.97 42.27),#54aa00ff
4813,6294.0,3450.0,1243814400.0,POINT (101.7854306 2.659030556),#fcfe00ff
4812,6294.0,2939.0,1243814400.0,POINT (101.7854306 2.659030556),#d6eb00ff
4818,6299.0,675.0,1243814400.0,POINT (-84.48 31.27),#319900ff
4819,6299.0,760.0,1243814400.0,POINT (-84.48 31.27),#379c00ff
4820,6299.0,460.0,1243814400.0,POINT (-84.48 31.27),#219100ff
